"","COUNTYA","STATEA","Entropy","Entropy_std","H","D_wb","D_wa","D_wl","D_bl","D_ba","D_la"
"1767",87,47,0.3312,0.1848,0.0086,0.0722,0.4613,0.088,0.0934,0.4687,0.497
"1768",87,48,0.9443,0.527,0,0,0,0,0,0,0
"1769",87,51,1.2702,0.7089,0.1937,0.5567,0.4344,0.3303,0.4772,0.663,0.4764
"1770",87,54,0.2736,0.1527,0.0103,0.2978,0.3937,0.1196,0.2211,0.3376,0.2895
"1771",87,55,0.6522,0.364,0.083,0.3617,0.3809,0.253,0.1971,0.2503,0.25
"1772",87,72,0.0444,0.0248,0.0636,0.5688,0.7185,0.4554,0.237,0.4659,0.5537
"1773",89,1,1.1063,0.6174,0.1454,0.4854,0.3308,0.3585,0.3346,0.4923,0.3844
"1774",89,5,0.3781,0.211,0.0054,0.233,0.1381,0.1129,0.2226,0.2964,0.2221
"1775",89,6,0.8928,0.4983,0.0182,0.3013,0.2473,0.1271,0.2712,0.223,0.2063
"1776",89,8,0.9102,0.508,0.0531,0.3553,0.2549,0.2645,0.1925,0.2608,0.2353
"1777",89,12,0.6538,0.3649,0.0374,0.2759,0.196,0.2308,0.1498,0.2597,0.1332
"1778",89,13,1.2606,0.7036,0.3073,0.7176,0.4275,0.5435,0.6552,0.6917,0.4943
"1779",89,17,1.0959,0.6116,0.1938,0.5068,0.3229,0.5665,0.2613,0.4811,0.5165
"1780",89,18,1.2052,0.6727,0.2657,0.7248,0.3602,0.4279,0.5609,0.7241,0.5402
"1781",89,19,0.3026,0.1689,0.0138,0.5807,0.2277,0.0901,0.5581,0.3529,0.2173
"1782",89,20,0.3093,0.1726,0,0,0,0,0,0,0
"1783",89,21,0.2812,0.157,0.0218,0.2875,0.3601,0.1319,0.3248,0.4652,0.3392
"1784",89,22,1.0324,0.5762,0.0934,0.452,0.3146,0.2209,0.3531,0.4318,0.1934
"1785",89,26,0.4999,0.279,0.0814,0.2162,0.1161,0.2429,0.1881,0.2332,0.2572
"1786",89,27,0.3524,0.1967,0.0351,0.4682,0.4682,0.3044,0.4179,0.1316,0.5316
"1787",89,28,1.0278,0.5736,0.179,0.4802,0.2843,0.5057,0.3534,0.5282,0.4912
"1788",89,29,0.5445,0.3039,0.0453,0.3995,0.3189,0.3638,0.0663,0.0984,0.0449
"1789",89,30,0.5574,0.3111,0.0691,0.3538,0.2096,0.0589,0.3458,0.3766,0.1771
"1790",89,31,0.3612,0.2016,0.043,0.2169,0.3303,0.3346,0.1816,0.1315,0.0967
"1791",89,36,0.5112,0.2853,0.0965,0.6153,0.4199,0.3254,0.3316,0.6116,0.4156
"1792",89,37,0.7483,0.4176,0.0614,0.3398,0.2543,0.3269,0.3108,0.2173,0.3047
"1793",89,38,0.6605,0.3686,0.0251,0.2476,0.2158,0.211,0.1687,0.1552,0.1634
"1794",89,39,0.6111,0.3411,0.105,0.4803,0.5934,0.2204,0.3612,0.3272,0.4326
